NumeroPaquete,Timestamp,Origen,Destino,Longitud,CodigoFuncion,Objeto,Valor
88,2004-10-11 16:31:04.723893888,4,3,10,Response,ND,ND
89,2004-10-11 16:31:07.478126080,3,4,17,Stop Application,Class 1 Data (Obj:60  Var:02),Null
89,2004-10-11 16:31:07.478126080,3,4,17,Stop Application,,No implementado
89,2004-10-11 16:31:07.478126080,3,4,17,Stop Application,Class 3 Data (Obj:60  Var:04),Null
90,2004-10-11 16:31:07.537969152,4,3,10,Response,ND,ND
91,2004-10-11 16:46:17.297271936,6,3,10,Unsolicited Response,ND,ND
92,2004-10-11 16:46:21.093331968,3,65535,17,Stop Application,Class 1 Data (Obj:60  Var:02),Null
92,2004-10-11 16:46:21.093331968,3,65535,17,Stop Application,,No implementado
92,2004-10-11 16:46:21.093331968,3,65535,17,Stop Application,Class 3 Data (Obj:60  Var:04),Null
93,2004-10-11 16:46:22.837582976,3,65535,17,Stop Application,Class 1 Data (Obj:60  Var:02),Null
93,2004-10-11 16:46:22.837582976,3,65535,17,Stop Application,,No implementado
93,2004-10-11 16:46:22.837582976,3,65535,17,Stop Application,Class 3 Data (Obj:60  Var:04),Null
