NumeroPaquete,Origen,Destino,Longitud,CodigoFuncion,CampoVector,NumeroObjetos
25,3,4,8,Confirm,ND,0
26,4,3,76,Unsolicited Response,Time and Date CTO (Obj:51  Var:01);numeroPuntos=1;0xff877d64c8;Binary Input Change With Relative Time (Obj:02  Var:03);numeroPuntos=5;0;0;0;1;1;32-Bit Analog Change Event w/o Time (Obj:32  Var:01);numeroPuntos=3;000198;000199;000199;,3
27,3,4,8,Confirm,ND,0
28,4,3,66,Unsolicited Response,Time and Date CTO (Obj:51  Var:01);numeroPuntos=1;0xff877d6bb5;Binary Input Change With Relative Time (Obj:02  Var:03);numeroPuntos=3;1;0;0;32-Bit Analog Change Event w/o Time (Obj:32  Var:01);numeroPuntos=3;0000;000202;000200;,3
29,3,4,8,Confirm,ND,0
30,4,3,76,Unsolicited Response,Time and Date CTO (Obj:51  Var:01);numeroPuntos=1;0xff877d6e5e;Binary Input Change With Relative Time (Obj:02  Var:03);numeroPuntos=5;0;1;1;1;0;32-Bit Analog Change Event w/o Time (Obj:32  Var:01);numeroPuntos=3;0000;0000;0000;,3
31,3,4,8,Confirm,ND,0
32,4,3,56,Unsolicited Response,Time and Date CTO (Obj:51  Var:01);numeroPuntos=1;0xff877d716b;Binary Input Change With Relative Time (Obj:02  Var:03);numeroPuntos=1;0;32-Bit Analog Change Event w/o Time (Obj:32  Var:01);numeroPuntos=3;000203;000202;000199;,3
33,3,4,8,Confirm,ND,0
34,3,4,8,Cold Restart,ND,0
35,4,3,16,Response,Time Delay - Fine (Obj:52  Var:02);numeroPuntos=1;0x1388,1
36,3,4,8,Cold Restart,ND,0
37,4,6,10,Unsolicited Response,ND,0
38,4,6,10,Unsolicited Response,ND,0
39,4,3,16,Response,Time Delay - Fine (Obj:52  Var:02);numeroPuntos=1;0x1388,1
40,3,4,11,Read,Binary Input Change Default Variation (Obj:02  Var:Default);No implementado;,1
41,4,3,10,Response,ND,0
42,4,6,10,Unsolicited Response,ND,0
43,3,4,17,Disable Spontaneus Messages,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;,3
44,4,3,10,Response,ND,0
45,3,4,14,Write,Internal Indications (Obj:80  Var:01);No implementado;,1
46,4,3,10,Response,ND,0
47,3,4,20,Read,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;Class 0 Data (Obj:60  Var:01);Null;,4
